"","rho","p.value","BH"
"Otu004",-0.66514978946418,0.0255251594107471,0.0340384789855413
"Otu008",0.760822019455603,0.00654508281541735,0.0207210932318159
"Otu009",0.815491865164987,0.00221629165469525,0.018791913446816
"Otu011",-0.788156942310295,0.00395619230459285,0.018791913446816
"Otu020",0.628703225657923,0.0382694969480235,0.0427717907066145
"Otu022",-0.751710378504039,0.0076340869801427,0.0207210932318159
"Otu028",-0.724375455649346,0.0116965672688233,0.0222234778107642
"Otu034",0.669705609939962,0.0241781558220748,0.0340384789855413
"Otu041",0.792712762786077,0.00361294154277164,0.018791913446816
"Otu043",0.674261430415744,0.0228823187879754,0.0340384789855413
"Otu047",-0.806380224213423,0.00271480214080918,0.018791913446816
"Otu053",0.634703196347032,0.0359191843194674,0.0426540313793676
"Otu069",-0.765377839931385,0.0060455389332126,0.0207210932318159
"Otu072",0.742598737552475,0.00884998687509756,0.0209506926974766
"Otu083",-0.707762557077626,0.0148218515237998,0.0256013799047451
"Otu101",-0.620704416451776,0.0415663214834263,0.0434256595429556
"Otu106",-0.735281761916065,0.00992401233038367,0.0209506926974766
"Otu108",-0.660759961721869,0.0268724834096379,0.0340384789855413
"Otu110",-0.616385842512071,0.0434256595429556,0.0434256595429556
