Date	Daynum	chla3	chla4	chla5	chla7	chla8	chla9	chla10	chla13	chla14	chla15	chla16	SRPPond 3	SRPPond 4	SRPPond 5	SRPPond 7	SRPPond 8	SRPPond 9	SRPPond 10	SRPPond 13	SRPPond 14	SRPPond 15	SRPPond 16	TPPond 3	TPPond 4	TPPond 5	TPPond 7	TPPond 8	TPPond 9	TPPond 10	TPPond 13	TPPond 14	TPPond 15	TPPond 16	ColorPond 3	ColorPond 4	ColorPond 5	ColorPond 7	ColorPond 8	ColorPond 9	ColorPond 10	ColorPond 13	ColorPond 14	ColorPond 15	ColorPond 16	FluorIndexPond 3	FluorIndexPond 4	FluorIndexPond 5	FluorIndexPond 7	FluorIndexPond 8	FluorIndexPond 9	FluorIndexPond 10	FluorIndexPond 13	FluorIndexPond 14	FluorIndexPond 15	FluorIndexPond 16
5/6/09	126	0.55308	0.31844		0.28911	1.257	0.6704	0.24721	0.51956	1.85198	0.419	0.419																																												
6/8/09	159	1.177097674	0.709376744	3.698893023	2.743962791	1.106939535	2.634827907	1.056269767	2.576362791	1.426548837	1.052372093	2.202186047												4.659018999	1.087104433	10.40514243	5.280221533	3.571914566	3.2613133	5.280221533	26.0905064	28.8859178	4.037816466	3.882515833	0.59878	1.26665	1.05938	1.75028	1.58907	0.89817	0.75999	3.31632	4.05328	1.58907	2.303	1.806670891	1.752943598	1.653886665	1.725582531	1.761493605	1.729126119	1.867417211	1.72892687	1.718276914	1.782093586	1.71369647
6/10/09	161	0.744455814	0.428744186	1.503321212	6.373878788	2.290533333	2.065767442	1.722772093	2.139823256	1.637023256	1.282334884	2.451637209												13.75244115	8.061775846	12.6459229	14.06858922	11.69747868	19.44310645	21.18192085	36.19895429	42.20576766		9.484442172	1.33574	1.91149	1.08241	2.25694	2.04967	1.65816	1.3818	3.86904	4.67509	2.41815	2.87875	3.041243542	2.707425416	2.838765549	2.917990231	2.686301951	3.334833745	2.736902423	3.081510109	2.526666667	2.983519793	2.359159358
6/12/09	163	1.095246512	0.90504	2.206083721	2.58104	1.399265116	2.32964	1.132569697	7.35764	3.23468	1.617704348	1.91902												7.605094226	10.78862204	14.32587517	18.03999096	12.55724861	13.97214986	11.49607267	29.35920097	36.78743254	12.38038595	14.67960048	1.22059	5.73447	1.12847	5.2969	2.60239	3.50056	1.6121	5.96477	7.71505	4.1454	8.01444	1.802402301	1.643178264	1.720426667	1.601123487	1.736621553	1.650740913	1.925491121	1.632494201	1.66669048	1.684298189	1.635673886
6/15/09	166	0.838	1.376351515	1.948837209	9.011423256	1.726669767	2.412660465	1.57855814	3.42215814	2.989516279	3.843106977	1.286232558												5.897782143	5.406300298	8.35519137	19.33161925	10.32111875	13.59766439	7.208400397	11.14025516	23.42730129	12.6147007	7.863709524	1.17453	4.32964	0.80605	4.79024	2.23391	2.5333	1.28968	4.69812	6.19507	3.56965	6.26416	1.806135807	1.657770253	1.693178109	1.640069786	1.789250572	1.700645612	1.74718255	1.714099798	1.68290235	1.699170737	1.648352025
6/17/09	168	1.095246512	1.750055814	2.295730233	3.936651163	0.87307907	3.390976744	1.032883721	4.11984186	2.424353488	1.531786047	1.348595349												7.863709524	12.77852798	14.90828264	15.39976449	14.41680079	14.08914623	10.32111875	23.75495586	27.8506379	12.6147007	11.79556429	1.24362	4.03025	0.99029	4.65206	2.37209	2.27997	1.45089	4.55994	6.03386	3.33935	5.7575	1.826389295	1.560707604	1.760547844	1.59813723	1.958762887	1.641903794	1.922462691	1.683340003	1.770029435	1.705259035	1.671175749
6/19/09	170	3.320818605	3.75751913	2.167106977	24.99388718	2.623304348	3.651101538	2.471125581	6.289834615	2.87015	4.39531	2.39249												12.70931533	17.51824545	16.83125544	27.47960071	20.60970053	15.11378039	15.11378039	35.55173342	34.6929959	18.54873048	14.59853788	1.95755	7.20839	0.85211	8.70534	4.05328	4.69812	1.28968	7.53081	9.92593	6.58658	11.10046	1.753694815	1.590181166	1.728409091	1.603080642	1.68914395	1.621802198	1.916760206	1.61544946	1.623996767	1.597715377	1.591148265
6/22/09	173	1.80852093	3.878186047	2.860893023	11.86452093	1.668204651	2.966130233	1.566865116	5.519106977	2.876483721	3.745665116	3.383181395												11.5070828	17.51824545	18.37698298	27.65134822	11.5070828	16.14426542	13.22455784	23.52940811	31.25804581	17.34649795	14.94203289	1.91149	5.43508	0.82908	6.17204	3.4545	3.4545	1.33574	6.10295	8.24474	4.99751	8.38292	1.74948156	1.620852397	0.455919339	1.64469058	1.695068752	1.663647207	1.911315365	1.643518855	1.62386858	1.66210418	1.614873144
6/24/09	175	1.052372093	1.97612093	2.490613953	2.627032558	1.192688372	3.141525581	1.909860465	3.81972093	2.104744186	1.714976744	4.661618605												7.564411843	9.627433254	18.39527425	23.20899088	10.48702551	11.34661776	12.20621002	23.72474623	35.7590378	12.37812847	15.47266059	1.75028	4.30661	0.96726	5.57326	3.20117	2.80966	1.40483	5.48114	7.53081	4.42176	6.72476	1.826310861	1.662751159	1.870819358	1.648092875	1.742172176	1.658496631	1.962184631	1.682863204	1.669832586	1.684982222	1.623388279
6/26/09	177	1.106939535	3.6872	6.660278261	9.479144186	2.903767442	10.46789831	1.352493023	10.47135652	2.863773913	10.03413913	3.803791304												15.34601194	16.86374939	20.57377425	32.71567381	20.57377425	22.0915117	14.50282447	40.30436103	46.7125858	29.00564894	18.55012432	3.38541	6.4484	1.1515	14.0483	5.89568	9.9029	1.75028	10.08714	12.91983	9.11988	19.1149	1.72245239	1.617636518	1.756983526	1.531814794	1.632063654	1.585766866	1.878864256	1.581285529	1.569110293	1.575930411	1.531054864
6/29/09	180	1.785134884	1.870883721	2.927153488	15.21652093	1.71107907	10.21190698	4.334213953	5.32812093	2.264548837	2.350297674	7.097495652												9.443699656	12.81644953	19.2246743	26.47608654	12.81644953	15.00873695	21.41696172	29.51156143	50.59124816	14.50282447	21.9228742	2.41815	4.606	1.24362	9.02776	4.44479	5.18175	2.21088	7.94535	10.77804	5.96477	10.8241	1.756003743	1.644869718	1.751489596	1.582457612	1.676592893	1.638722292	1.843224092	1.622883626	1.61706339	1.631842072	1.584967902
7/1/09	182	1.360288372	2.6816	4.065274419	16.93149767	1.929348837	17.47717209	5.694502326	3.75735814	1.750055814	4.989023256	5.456744186												42.6549188	42.82691444	29.06726321	66.73430844	57.79053514	47.29880108	46.0948316	79.63398146	108.1852578	53.3186485	35.94708882	2.39512	3.79995	1.1515	7.46172	4.21449	4.03025	2.25694	7.00112	10.06411	5.45811	8.61322	1.72078384	1.644706125	1.707370737	1.587876225	1.698879273	1.676093506	1.84564656	1.621474605	1.627550861	1.654905307	1.589972818
7/3/09	184	3.609246512	3.8548	4.735674419	17.69273043	3.803791304	28.50657391	7.670623256	10.28918261	2.164226087	6.908034783	4.299304348												15.64530704	18.6005317	22.42494009	42.93767598	27.98771592	27.46620569	21.55575636	42.242329	66.40563654	31.81212431	25.72783824	3.29329	5.71144	1.24362	10.63986	5.45811	6.31022	2.71754	9.37321	12.82771	9.41927	18.44703	1.709279084	1.597379006	1.743637034	1.5747783	1.688509746	1.676967658	1.849330168	1.605972664	1.595021698	1.598809152	1.55147027
7/6/09	187	2.361990698	1.566865116	2.58415814	35.35631304	2.412660465	12.33224186	1.679897674	16.22991628	1.722772093	15.44834783	28.9437913												10.95171493	12.86391912	18.94820519	83.78931103	21.90342985	18.94820519	13.5592661	39.98245132	58.75681977	22.42494009	43.98069645	2.44118	4.62903	1.1515	9.74169	4.606	4.88236	2.18785	7.87626	11.44591	6.51749	10.31744	1.749827	1.69134324	1.726422125	1.620941768	1.681445832	1.677433982	1.830003883	1.648648366	1.614001807	1.635230064	1.596541179
7/8/09	189	1.8436	1.765646512	3.749562791	22.88714419	2.361990698	6.781953488	1.3408	9.775367442	1.586353488	2.116437209	6.766362791												11.41339284	11.97470725	17.77495607	49.58277219	21.32994728	25.8204625	13.65865045	35.36280733	48.46014338	22.63968089	22.45257608	2.46421	4.3757	1.10544	8.56716	4.65206	3.82298	2.0727	7.41566	10.84713	6.40234	9.58048	1.745781319	1.650748435	1.715205346	1.590269401	1.690891954	1.653188977	1.796964849	1.632314669	1.616800378	1.626848036	1.597269855
7/10/09	191	1.855293023	3.111530435	2.486716279	35.50205217	3.348102326	13.64118261	0.63532093	10.71911304	1.64092093	2.229469767	7.439982609												12.36045429	17.58318146	20.89090866	69.46227131	15.6681815	24.37272678	13.23090882	41.60772642	45.26363544	23.50227225	27.68045398	2.9939	7.04718	1.10544	20.9573	4.32964	5.2969	1.91149	10.52471	13.3574	7.99141	13.42649	1.739086406	1.602936291	1.650739827	1.561484081	1.700163836	1.614383159	1.791752577	1.58234127	1.583327097	1.594406834	1.571040809
7/13/09	194	2.482818605	2.334706977	3.862595349	24.62991304	1.609739535	10.89789767	0.822409302	9.868911628	2.482818605	2.459432558	2.638725581												14.10136335	15.49409059	19.67227233	61.45408966	13.92727244	19.67227233	17.40909055	45.78590816	41.43363552	26.46181764	19.49818142	2.55633	5.41205	1.10544	14.71617	4.07631	4.09934	2.11876	9.32715	12.29802	6.49446	11.72227	1.76001034	1.647336533	1.71827528	1.558295391	1.689335926	1.640532938	1.843700223	1.632226545	1.60646328	1.647864019	1.579762567
7/15/09	196	1.227767442	6.579274419	4.462837209	22.84037209	2.630930233	15.31006512	0.990009302	11.3656186	2.003404651	2.545181395	1.948837209												9.872894887	18.8642813	22.39031519	61.88189474	17.98277283	21.68510841	17.10126436	40.19678633	40.54938972	19.74578977	17.27756605	2.46421	4.67509	1.12847	12.62044	4.00722	3.73086	2.09573	8.68231	11.7453	6.63264	11.21561	1.721437153	1.672958349	1.679809014	1.554087954	1.739127329	1.650489229	1.83272493	1.628217171	1.615828049	1.628837616	1.591964723
