Date	Pond	BP (uM C/day)
6/8/09	3	18.18
6/8/09	4	12.01
6/8/09	5	11.84
6/8/09	7	18.77
6/8/09	8	13.77
6/8/09	9	14.80
6/8/09	10	12.95
6/8/09	13	16.41
6/8/09	14	23.03
6/8/09	15	17.89
6/8/09	16	15.02
6/10/09	3	10.66
6/10/09	4	8.92
6/10/09	5	7.28
6/10/09	7	16.28
6/10/09	8	15.42
6/10/09	9	22.74
6/10/09	10	15.08
6/10/09	13	18.21
6/10/09	14	22.84
6/10/09	15	18.86
6/10/09	16	10.97
6/12/09	3	10.83
6/12/09	4	15.72
6/12/09	5	5.48
6/12/09	7	15.99
6/12/09	8	15.39
6/12/09	9	17.47
6/12/09	10	12.89
6/12/09	13	19.37
6/12/09	14	22.02
6/12/09	15	21.15
6/12/09	16	15.83
6/15/09	3	12.46
6/15/09	4	19.08
6/15/09	5	13.41
6/15/09	7	15.15
6/15/09	8	14.56
6/15/09	9	11.81
6/15/09	10	11.80
6/15/09	13	23.09
6/15/09	14	31.76
6/15/09	15	17.33
6/15/09	16	13.79
6/17/09	3	17.30
6/17/09	4	27.36
6/17/09	5	20.67
6/17/09	7	25.17
6/17/09	8	25.24
6/17/09	9	25.45
6/17/09	10	23.14
6/17/09	13	31.40
6/17/09	14	32.32
6/17/09	15	19.24
6/17/09	16	29.14
6/19/09	3	18.66
6/19/09	4	23.05
6/19/09	5	13.27
6/19/09	7	28.28
6/19/09	8	25.71
6/19/09	9	20.95
6/19/09	10	20.06
6/19/09	13	31.70
6/19/09	14	26.36
6/19/09	15	23.61
6/19/09	16	24.99
6/22/09	3	12.77
6/22/09	4	17.60
6/22/09	5	14.63
6/22/09	7	27.09
6/22/09	8	20.66
6/22/09	9	16.30
6/22/09	10	16.96
6/22/09	13	18.62
6/22/09	14	27.22
6/22/09	15	23.89
6/22/09	16	33.23
6/24/09	3	15.42
6/24/09	4	17.52
6/24/09	5	19.46
6/24/09	7	21.53
6/24/09	8	20.15
6/24/09	9	19.22
6/24/09	10	22.21
6/24/09	13	20.09
6/24/09	14	19.53
6/24/09	15	19.30
6/24/09	16	12.55
6/26/09	3	16.70
6/26/09	4	16.81
6/26/09	5	12.04
6/26/09	7	24.20
6/26/09	8	25.28
6/26/09	9	18.20
6/26/09	10	17.33
6/26/09	13	22.56
6/26/09	14	33.55
6/26/09	15	42.39
6/26/09	16	21.56
6/29/09	3	26.48
6/29/09	4	14.19
6/29/09	5	15.63
6/29/09	7	29.24
6/29/09	8	25.16
6/29/09	9	18.13
6/29/09	10	25.84
6/29/09	13	19.76
6/29/09	14	31.40
6/29/09	15	23.74
6/29/09	16	33.60
7/1/09	3	17.42
7/1/09	4	13.45
7/1/09	5	15.74
7/1/09	7	42.47
7/1/09	8	34.04
7/1/09	9	21.10
7/1/09	10	21.47
7/1/09	13	24.32
7/1/09	14	22.57
7/1/09	15	22.47
7/1/09	16	25.40
7/3/09	3	36.17
7/3/09	4	24.00
7/3/09	5	28.05
7/3/09	7	33.52
7/3/09	8	25.66
7/3/09	9	22.30
7/3/09	10	31.48
7/3/09	13	36.37
7/3/09	14	26.79
7/3/09	15	45.08
7/3/09	16	33.59
7/6/09	3	15.79
7/6/09	4	11.07
7/6/09	5	20.42
7/6/09	7	42.49
7/6/09	8	17.59
7/6/09	9	17.59
7/6/09	10	21.27
7/6/09	13	23.29
7/6/09	14	15.53
7/6/09	15	24.15
7/6/09	16	23.03
7/8/09	3	27.10
7/8/09	4	11.74
7/8/09	5	13.95
7/8/09	7	19.85
7/8/09	8	16.07
7/8/09	9	14.60
7/8/09	10	20.06
7/8/09	13	20.22
7/8/09	14	19.95
7/8/09	15	15.75
7/8/09	16	30.95
7/10/09	3	12.40
7/10/09	4	12.42
7/10/09	5	16.62
7/10/09	7	24.80
7/10/09	8	14.20
7/10/09	9	13.28
7/10/09	10	16.15
7/10/09	13	18.85
7/10/09	14	24.43
7/10/09	15	16.87
7/10/09	16	20.11
7/13/09	3	30.27
7/13/09	4	13.50
7/13/09	5	16.83
7/13/09	7	26.92
7/13/09	8	17.22
7/13/09	9	14.25
7/13/09	10	22.77
7/13/09	13	18.51
7/13/09	14	17.60
7/13/09	15	22.08
7/13/09	16	12.80
7/15/09	3	10.94
7/15/09	4	15.02
7/15/09	5	21.07
7/15/09	7	21.26
7/15/09	8	14.81
7/15/09	9	13.71
7/15/09	10	22.02
7/15/09	13	14.63
7/15/09	14	9.76
7/15/09	15	20.07
7/15/09	16	13.04
7/17/09	3	26.74
7/17/09	4	17.68
7/17/09	5	18.69
7/17/09	7	34.63
7/17/09	8	20.00
7/17/09	9	24.74
7/17/09	10	48.97
7/17/09	13	27.42
7/17/09	14	24.86
7/17/09	15	26.46
7/17/09	16	21.91
7/20/09	3	136.81
7/20/09	4	22.70
7/20/09	5	16.76
7/20/09	7	27.50
7/20/09	8	15.99
7/20/09	9	20.21
7/20/09	10	39.01
7/20/09	13	15.13
7/20/09	14	15.20
7/20/09	15	24.06
7/20/09	16	9.22
7/22/09	3	15.78
7/22/09	4	20.14
7/22/09	5	14.69
7/22/09	7	20.99
7/22/09	8	19.33
7/22/09	9	24.51
7/22/09	10	34.53
7/22/09	13	14.61
7/22/09	14	13.69
7/22/09	15	29.80
7/22/09	16	9.84
7/24/09	3	16.58
7/24/09	4	13.44
7/24/09	5	12.32
7/24/09	7	34.74
7/24/09	8	17.70
7/24/09	9	23.57
7/24/09	10	32.03
7/24/09	13	17.62
7/24/09	14	19.83
7/24/09	15	50.87
7/24/09	16	15.77
7/27/09	3	36.44
7/27/09	4	17.90
7/27/09	5	18.90
7/27/09	7	33.36
7/27/09	8	22.98
7/27/09	9	25.94
7/27/09	10	40.79
7/27/09	13	20.38
7/27/09	14	22.21
7/27/09	15	38.19
7/27/09	16	14.58
7/29/09	3	36.03
7/29/09	4	17.20
7/29/09	5	20.47
7/29/09	7	22.15
7/29/09	8	18.00
7/29/09	9	33.54
7/29/09	10	45.56
7/29/09	13	23.93
7/29/09	14	10.60
7/29/09	15	33.13
7/29/09	16	12.38
7/31/09	3	34.55
7/31/09	4	16.80
7/31/09	5	17.29
7/31/09	7	57.26
7/31/09	8	25.56
7/31/09	9	46.61
7/31/09	10	54.65
7/31/09	13	26.90
7/31/09	14	24.93
7/31/09	15	45.02
7/31/09	16	19.98
8/3/09	3	46.63
8/3/09	4	12.62
8/3/09	5	15.49
8/3/09	7	21.88
8/3/09	8	20.97
8/3/09	9	27.74
8/3/09	10	41.08
8/3/09	13	17.63
8/3/09	14	15.11
8/3/09	15	34.17
8/3/09	16	11.08
8/5/09	3	30.39
8/5/09	4	18.95
8/5/09	5	18.71
8/5/09	7	23.62
8/5/09	8	21.73
8/5/09	9	26.53
8/5/09	10	47.85
8/5/09	13	23.12
8/5/09	14	19.68
8/5/09	15	25.43
8/5/09	16	14.07
8/7/09	3	42.64
8/7/09	4	16.40
8/7/09	5	20.45
8/7/09	7	35.82
8/7/09	8	27.12
8/7/09	9	33.73
8/7/09	10	67.51
8/7/09	13	22.15
8/7/09	14	38.89
8/7/09	15	47.22
8/7/09	16	27.03
8/10/09	3	NA
8/10/09	4	NA
8/10/09	5	NA
8/10/09	7	NA
8/10/09	8	NA
8/10/09	9	NA
8/10/09	10	NA
8/10/09	13	NA
8/10/09	14	NA
8/10/09	15	NA
8/10/09	16	NA
8/12/09	3	NA
8/12/09	4	NA
8/12/09	5	NA
8/12/09	7	NA
8/12/09	8	NA
8/12/09	9	NA
8/12/09	10	NA
8/12/09	13	NA
8/12/09	14	NA
8/12/09	15	NA
8/12/09	16	NA
8/14/09	3	41.64
8/14/09	4	18.44
8/14/09	5	21.61
8/14/09	7	41.90
8/14/09	8	36.42
8/14/09	9	20.71
8/14/09	10	37.27
8/14/09	13	43.11
8/14/09	14	35.89
8/14/09	15	29.83
8/14/09	16	14.49
8/17/09	3	32.50
8/17/09	4	24.45
8/17/09	5	19.26
8/17/09	7	35.41
8/17/09	8	25.89
8/17/09	9	20.25
8/17/09	10	47.42
8/17/09	13	29.73
8/17/09	14	19.59
8/17/09	15	22.69
8/17/09	16	14.14
8/19/09	3	31.99
8/19/09	4	16.45
8/19/09	5	17.11
8/19/09	7	29.71
8/19/09	8	23.03
8/19/09	9	16.05
8/19/09	10	42.26
8/19/09	13	25.26
8/19/09	14	20.77
8/19/09	15	21.97
8/19/09	16	9.77
8/21/09	3	39.71
8/21/09	4	21.02
8/21/09	5	30.56
8/21/09	7	49.92
8/21/09	8	44.98
8/21/09	9	26.99
8/21/09	10	91.83
8/21/09	13	73.03
8/21/09	14	71.75
8/21/09	15	36.24
8/21/09	16	23.42
8/24/09	3	61.90
8/24/09	4	23.96
8/24/09	5	30.12
8/24/09	7	51.55
8/24/09	8	49.51
8/24/09	9	22.56
8/24/09	10	50.19
8/24/09	13	27.45
8/24/09	14	38.05
8/24/09	15	89.38
8/24/09	16	19.69
8/26/09	3	28.33
8/26/09	4	20.20
8/26/09	5	23.06
8/26/09	7	34.80
8/26/09	8	26.80
8/26/09	9	19.99
8/26/09	10	40.27
8/26/09	13	14.16
8/26/09	14	16.46
8/26/09	15	23.96
8/26/09	16	18.38
8/28/09	3	54.41
8/28/09	4	24.64
8/28/09	5	38.56
8/28/09	7	50.78
8/28/09	8	73.98
8/28/09	9	26.30
8/28/09	10	43.02
8/28/09	13	31.54
8/28/09	14	43.86
8/28/09	15	56.13
8/28/09	16	24.70
8/31/09	3	20.82
8/31/09	4	21.06
8/31/09	5	19.01
8/31/09	7	30.51
8/31/09	8	17.80
8/31/09	9	15.59
8/31/09	10	21.84
8/31/09	13	12.03
8/31/09	14	17.98
8/31/09	15	31.53
8/31/09	16	13.41
9/2/09	3	14.34
9/2/09	4	13.76
9/2/09	5	13.14
9/2/09	7	14.57
9/2/09	8	14.44
9/2/09	9	14.71
9/2/09	10	15.00
9/2/09	13	7.79
9/2/09	14	7.85
9/2/09	15	11.49
9/2/09	16	8.92
9/4/09	3	13.77
9/4/09	4	13.20
9/4/09	5	12.67
9/4/09	7	14.57
9/4/09	8	18.64
9/4/09	9	14.83
9/4/09	10	19.66
9/4/09	13	20.02
9/4/09	14	15.95
9/4/09	15	12.56
9/4/09	16	13.18
9/7/09	3	16.24
9/7/09	4	21.07
9/7/09	5	18.22
9/7/09	7	39.19
9/7/09	8	25.25
9/7/09	9	19.19
9/7/09	10	23.47
9/7/09	13	16.15
9/7/09	14	15.83
9/7/09	15	13.76
