Date	Pond	Total/Dissolved	Analyte	Concentration (ppm)
6/10/09	3	Dissolved	TN	0.15
6/10/09	4	Dissolved	TN	0.23
6/10/09	5	Dissolved	TN	0.34
6/10/09	7	Dissolved	TN	0.24
6/10/09	8	Dissolved	TN	0.26
6/10/09	9	Dissolved	TN	0.17
6/10/09	10	Dissolved	TN	0.23
6/10/09	13	Dissolved	TN	0.35
6/10/09	14	Dissolved	TN	0.38
6/10/09	15	Dissolved	TN	0.17
6/10/09	16	Dissolved	TN	0.39
6/10/09	3	Dissolved	TN	0.19
6/10/09	4	Dissolved	TN	0.19
6/10/09	5	Dissolved	TN	0.16
6/10/09	7	Dissolved	TN	0.13
6/10/09	8	Dissolved	TN	0.11
6/10/09	9	Dissolved	TN	0.23
6/10/09	10	Dissolved	TN	0.22
6/10/09	13	Dissolved	TN	0.18
6/10/09	14	Dissolved	TN	0.18
6/10/09	15	Dissolved	TN	0.21
6/10/09	16	Dissolved	TN	0.20
6/12/09	3	Dissolved	TN	0.12
6/12/09	4	Dissolved	TN	0.17
6/12/09	5	Dissolved	TN	0.23
6/12/09	7	Dissolved	TN	0.20
6/12/09	8	Dissolved	TN	0.19
6/12/09	9	Dissolved	TN	0.21
6/12/09	10	Dissolved	TN	0.14
6/12/09	13	Dissolved	TN	0.26
6/12/09	14	Dissolved	TN	0.41
6/12/09	15	Dissolved	TN	0.14
6/12/09	16	Dissolved	TN	0.38
6/15/09	3	Dissolved	TN	0.24
6/15/09	4	Dissolved	TN	0.34
6/15/09	5	Dissolved	TN	0.33
6/15/09	7	Dissolved	TN	0.38
6/15/09	8	Dissolved	TN	0.32
6/15/09	9	Dissolved	TN	0.37
6/15/09	10	Dissolved	TN	0.28
6/15/09	13	Dissolved	TN	0.49
6/15/09	14	Dissolved	TN	0.58
6/15/09	15	Dissolved	TN	0.44
6/15/09	16	Dissolved	TN	0.77
6/17/09	3	Dissolved	TN	0.15
6/17/09	4	Dissolved	TN	0.16
6/17/09	5	Dissolved	TN	0.18
6/17/09	7	Dissolved	TN	0.22
6/17/09	8	Dissolved	TN	0.28
6/17/09	9	Dissolved	TN	0.11
6/17/09	10	Dissolved	TN	0.22
6/17/09	13	Dissolved	TN	0.30
6/17/09	14	Dissolved	TN	0.55
6/17/09	15	Dissolved	TN	0.35
6/17/09	15	Dissolved	TN	0.20
6/17/09	16	Dissolved	TN	0.47
6/19/09	3	Dissolved	TN	0.21
6/19/09	4	Dissolved	TN	0.18
6/19/09	5	Dissolved	TN	0.18
6/19/09	7	Dissolved	TN	0.36
6/19/09	8	Dissolved	TN	0.34
6/19/09	9	Dissolved	TN	0.22
6/19/09	10	Dissolved	TN	0.23
6/19/09	13	Dissolved	TN	0.40
6/19/09	14	Dissolved	TN	0.44
6/19/09	16	Dissolved	TN	0.76
6/22/09	3	Dissolved	TN	0.28
6/22/09	4	Dissolved	TN	0.30
6/22/09	5	Dissolved	TN	0.40
6/22/09	7	Dissolved	TN	0.36
6/22/09	8	Dissolved	TN	0.36
6/22/09	9	Dissolved	TN	0.35
6/22/09	10	Dissolved	TN	0.43
6/22/09	13	Dissolved	TN	0.46
6/22/09	14	Dissolved	TN	0.50
6/22/09	15	Dissolved	TN	0.21
6/22/09	16	Dissolved	TN	0.48
6/24/09	3	Dissolved	TN	0.28
6/24/09	4	Dissolved	TN	0.28
6/24/09	5	Dissolved	TN	0.30
6/24/09	7	Dissolved	TN	0.19
6/24/09	8	Dissolved	TN	0.30
6/24/09	9	Dissolved	TN	0.27
6/24/09	10	Dissolved	TN	0.13
6/24/09	13	Dissolved	TN	0.57
6/24/09	14	Dissolved	TN	0.47
6/24/09	15	Dissolved	TN	0.28
6/24/09	16	Dissolved	TN	0.44
6/26/09	3	Dissolved	TN	0.27
6/26/09	4	Dissolved	TN	0.20
6/26/09	5	Dissolved	TN	0.23
6/26/09	7	Dissolved	TN	0.33
6/26/09	8	Dissolved	TN	0.22
6/26/09	9	Dissolved	TN	0.30
6/26/09	10	Dissolved	TN	0.20
6/26/09	13	Dissolved	TN	0.47
6/26/09	14	Dissolved	TN	0.50
6/26/09	15	Dissolved	TN	0.27
6/26/09	16	Dissolved	TN	0.39
6/29/09	3	Dissolved	TN	0.30
6/29/09	4	Dissolved	TN	0.26
6/29/09	5	Dissolved	TN	0.26
6/29/09	7	Dissolved	TN	0.31
6/29/09	8	Dissolved	TN	0.27
6/29/09	9	Dissolved	TN	0.34
6/29/09	10	Dissolved	TN	0.22
6/29/09	13	Dissolved	TN	0.40
6/29/09	14	Dissolved	TN	0.47
6/29/09	15	Dissolved	TN	0.22
6/29/09	16	Dissolved	TN	0.38
7/1/09	3	Dissolved	TN	0.28
7/1/09	4	Dissolved	TN	0.24
7/1/09	5	Dissolved	TN	0.24
7/1/09	7	Dissolved	TN	0.33
7/1/09	8	Dissolved	TN	0.26
7/1/09	9	Dissolved	TN	0.25
7/1/09	10	Dissolved	TN	0.25
7/1/09	13	Dissolved	TN	0.37
7/1/09	14	Dissolved	TN	0.48
7/1/09	15	Dissolved	TN	0.32
7/1/09	16	Dissolved	TN	0.53
7/3/09	3	Dissolved	TN	0.22
7/3/09	4	Dissolved	TN	0.22
7/3/09	5	Dissolved	TN	0.19
7/3/09	7	Dissolved	TN	0.25
7/3/09	8	Dissolved	TN	0.22
7/3/09	9	Dissolved	TN	0.22
7/3/09	10	Dissolved	TN	0.14
7/3/09	13	Dissolved	TN	0.27
7/3/09	14	Dissolved	TN	0.43
7/3/09	15	Dissolved	TN	0.26
7/3/09	16	Dissolved	TN	0.49
7/6/09	3	Dissolved	TN	0.18
7/6/09	4	Dissolved	TN	0.18
7/6/09	5	Dissolved	TN	0.21
7/6/09	7	Dissolved	TN	0.16
7/6/09	8	Dissolved	TN	0.23
7/6/09	9	Dissolved	TN	0.23
7/6/09	10	Dissolved	TN	0.23
7/6/09	13	Dissolved	TN	0.32
7/6/09	14	Dissolved	TN	0.44
7/6/09	15	Dissolved	TN	0.21
7/6/09	16	Dissolved	TN	0.38
7/8/09	3	Dissolved	TN	0.16
7/8/09	4	Dissolved	TN	0.19
7/8/09	5	Dissolved	TN	0.16
7/8/09	7	Dissolved	TN	0.25
7/8/09	8	Dissolved	TN	0.25
7/8/09	9	Dissolved	TN	0.17
7/8/09	10	Dissolved	TN	0.19
7/8/09	13	Dissolved	TN	0.28
7/8/09	14	Dissolved	TN	0.39
7/8/09	15	Dissolved	TN	0.27
7/8/09	16	Dissolved	TN	0.34
