Date	Pond	Total/Dissolved	Analyte	Concentration (ppm)
6/10/09	3	Dissolved	NPOC	3.58
6/10/09	4	Dissolved	NPOC	4.50
6/10/09	5	Dissolved	NPOC	4.89
6/10/09	7	Dissolved	NPOC	4.47
6/10/09	8	Dissolved	NPOC	4.39
6/10/09	9	Dissolved	NPOC	4.16
6/10/09	10	Dissolved	NPOC	4.49
6/10/09	13	Dissolved	NPOC	6.40
6/10/09	14	Dissolved	NPOC	7.76
6/10/09	15	Dissolved	NPOC	3.83
6/10/09	16	Dissolved	NPOC	5.44
6/10/09	3	Dissolved	NPOC	3.37
6/10/09	4	Dissolved	NPOC	4.04
6/10/09	5	Dissolved	NPOC	3.77
6/10/09	7	Dissolved	NPOC	4.15
6/10/09	8	Dissolved	NPOC	3.86
6/10/09	9	Dissolved	NPOC	3.94
6/10/09	10	Dissolved	NPOC	3.40
6/10/09	13	Dissolved	NPOC	5.99
6/10/09	14	Dissolved	NPOC	7.53
6/10/09	15	Dissolved	NPOC	4.29
6/10/09	16	Dissolved	NPOC	6.27
6/12/09	3	Dissolved	NPOC	3.22
6/12/09	4	Dissolved	NPOC	4.89
6/12/09	5	Dissolved	NPOC	3.90
6/12/09	7	Dissolved	NPOC	5.25
6/12/09	8	Dissolved	NPOC	4.19
6/12/09	9	Dissolved	NPOC	4.34
6/12/09	10	Dissolved	NPOC	3.19
6/12/09	13	Dissolved	NPOC	7.29
6/12/09	14	Dissolved	NPOC	8.37
6/12/09	15	Dissolved	NPOC	4.28
6/12/09	16	Dissolved	NPOC	6.24
6/15/09	3	Dissolved	NPOC	4.14
6/15/09	4	Dissolved	NPOC	5.32
6/15/09	5	Dissolved	NPOC	4.31
6/15/09	7	Dissolved	NPOC	6.33
6/15/09	8	Dissolved	NPOC	4.52
6/15/09	9	Dissolved	NPOC	4.73
6/15/09	10	Dissolved	NPOC	4.08
6/15/09	13	Dissolved	NPOC	7.63
6/15/09	14	Dissolved	NPOC	9.29
6/15/09	15	Dissolved	NPOC	5.66
6/15/09	16	Dissolved	NPOC	7.78
6/17/09	3	Dissolved	NPOC	3.45
6/17/09	4	Dissolved	NPOC	5.48
6/17/09	5	Dissolved	NPOC	3.69
6/17/09	7	Dissolved	NPOC	5.02
6/17/09	8	Dissolved	NPOC	4.24
6/17/09	9	Dissolved	NPOC	3.75
6/17/09	10	Dissolved	NPOC	3.62
6/17/09	13	Dissolved	NPOC	6.78
6/17/09	14	Dissolved	NPOC	9.12
6/17/09	15	Dissolved	NPOC	5.10
6/17/09	15	Dissolved	NPOC	5.03
6/17/09	16	Dissolved	NPOC	7.67
6/19/09	3	Dissolved	NPOC	4.01
6/19/09	4	Dissolved	NPOC	4.39
6/19/09	5	Dissolved	NPOC	3.52
6/19/09	7	Dissolved	NPOC	6.42
6/19/09	8	Dissolved	NPOC	5.15
6/19/09	9	Dissolved	NPOC	3.83
6/19/09	10	Dissolved	NPOC	3.28
6/19/09	13	Dissolved	NPOC	7.36
6/19/09	14	Dissolved	NPOC	8.93
6/19/09	16	Dissolved	NPOC	8.27
6/22/09	3	Dissolved	NPOC	3.62
6/22/09	4	Dissolved	NPOC	5.79
6/22/09	5	Dissolved	NPOC	4.41
6/22/09	7	Dissolved	NPOC	6.43
6/22/09	8	Dissolved	NPOC	5.39
6/22/09	9	Dissolved	NPOC	4.08
6/22/09	10	Dissolved	NPOC	4.18
6/22/09	13	Dissolved	NPOC	8.24
6/22/09	14	Dissolved	NPOC	10.71
6/22/09	15	Dissolved	NPOC	5.32
6/22/09	16	Dissolved	NPOC	7.78
6/24/09	3	Dissolved	NPOC	4.29
6/24/09	4	Dissolved	NPOC	5.28
6/24/09	5	Dissolved	NPOC	4.20
6/24/09	7	Dissolved	NPOC	6.71
6/24/09	8	Dissolved	NPOC	4.76
6/24/09	9	Dissolved	NPOC	4.42
6/24/09	10	Dissolved	NPOC	3.52
6/24/09	13	Dissolved	NPOC	8.75
6/24/09	14	Dissolved	NPOC	10.36
6/24/09	15	Dissolved	NPOC	5.94
6/24/09	16	Dissolved	NPOC	7.60
6/26/09	3	Dissolved	NPOC	4.55
6/26/09	4	Dissolved	NPOC	5.42
6/26/09	5	Dissolved	NPOC	3.81
6/26/09	7	Dissolved	NPOC	8.33
6/26/09	8	Dissolved	NPOC	5.62
6/26/09	9	Dissolved	NPOC	5.87
6/26/09	10	Dissolved	NPOC	3.77
6/26/09	13	Dissolved	NPOC	10.11
6/26/09	14	Dissolved	NPOC	11.16
6/26/09	15	Dissolved	NPOC	6.29
6/26/09	16	Dissolved	NPOC	8.99
6/29/09	3	Dissolved	NPOC	5.19
6/29/09	4	Dissolved	NPOC	5.69
6/29/09	5	Dissolved	NPOC	4.48
6/29/09	7	Dissolved	NPOC	8.19
6/29/09	8	Dissolved	NPOC	5.85
6/29/09	9	Dissolved	NPOC	5.99
6/29/09	10	Dissolved	NPOC	4.63
6/29/09	13	Dissolved	NPOC	9.09
6/29/09	14	Dissolved	NPOC	11.06
6/29/09	15	Dissolved	NPOC	6.76
6/29/09	16	Dissolved	NPOC	8.67
7/1/09	3	Dissolved	NPOC	5.03
7/1/09	4	Dissolved	NPOC	5.28
7/1/09	5	Dissolved	NPOC	4.14
7/1/09	7	Dissolved	NPOC	7.57
7/1/09	8	Dissolved	NPOC	5.54
7/1/09	9	Dissolved	NPOC	4.81
7/1/09	10	Dissolved	NPOC	4.74
7/1/09	13	Dissolved	NPOC	9.05
7/1/09	14	Dissolved	NPOC	12.62
7/1/09	15	Dissolved	NPOC	6.80
7/1/09	16	Dissolved	NPOC	9.04
7/3/09	3	Dissolved	NPOC	5.25
7/3/09	4	Dissolved	NPOC	6.31
7/3/09	5	Dissolved	NPOC	4.27
7/3/09	7	Dissolved	NPOC	8.65
7/3/09	8	Dissolved	NPOC	5.98
7/3/09	9	Dissolved	NPOC	5.37
7/3/09	10	Dissolved	NPOC	4.29
7/3/09	13	Dissolved	NPOC	9.61
7/3/09	14	Dissolved	NPOC	11.68
7/3/09	15	Dissolved	NPOC	6.87
7/3/09	16	Dissolved	NPOC	8.44
7/6/09	3	Dissolved	NPOC	5.20
7/6/09	4	Dissolved	NPOC	5.30
7/6/09	5	Dissolved	NPOC	4.28
7/6/09	7	Dissolved	NPOC	8.50
