Date	Pond	Total/Dissolved	Analyte	Concentration (ppm)
6/8/2009	3	Total	TP	9.335280374
6/10/2009	3	Total	TP	13.75244115
6/12/2009	3	Total	TP	7.605094226
6/15/2009	3	Total	TP	5.897782143
6/17/2009	3	Total	TP	7.863709524
6/19/2009	3	Total	TP	12.70931533
6/22/2009	3	Total	TP	11.5070828
6/24/2009	3	Total	TP	7.564411843
6/26/2009	3	Total	TP	15.34601194
6/29/2009	3	Total	TP	9.443699656
7/1/2009	3	Total	TP	9.004566923
7/3/2009	3	Total	TP	15.64530704
7/6/2009	3	Total	TP	10.95171493
7/8/2009	3	Total	TP	11.41339284
7/10/2009	3	Total	TP	12.36045429
7/13/2009	3	Total	TP	14.10136335
7/15/2009	3	Total	TP	9.872894887
7/17/2009	3	Total	TP	16.22879075
7/20/2009	3	Total	TP	13.16680291
7/22/2009	3	Total	TP	11.27891787
7/24/2009	3	Total	TP	13.56632368
7/27/2009	3	Total	TP	26.97076139
7/29/2009	3	Total	TP	25.04427843
7/31/2009	3	Total	TP	15.001553
8/3/2009	3	Total	TP	46.94603644
8/5/2009	3	Total	TP	15.43903595
8/7/2009	3	Total	TP	35.1080195
8/10/2009	3	Total	TP	15.49813473
8/12/2009	3	Total	TP	25.20489096
8/14/2009	3	Total	TP	16.43924347
8/17/2009	3	Total	TP	17.22959172
8/19/2009	3	Total	TP	19.44066146
8/21/2009	3	Total	TP	30.67241452
8/24/2009	3	Total	TP	26.94277683
8/26/2009	3	Total	TP	16.0616734
8/28/2009	3	Total	TP	27.73624129
8/31/2009	3	Total	TP	20.70257241
9/2/2009	3	Total	TP	18.22385076
9/4/2009	3	Total	TP	24.48273446
9/7/2009	3	Total	TP	10.29210493
9/9/2009	3	Total	TP	13.07351371
9/11/2009	3	Total	TP	11.29960299
9/14/2009	3	Total	TP	13.82714577
9/16/2009	3	Total	TP	16.03564435
9/18/2009	3	Total	TP	16.73873525
9/21/2009	3	Total	TP	9.56499157
9/23/2009	3	Total	TP	10.65890735
9/25/2009	3	Total	TP	11.08694304
6/8/2009	4	Total	TP	8.570093458
6/10/2009	4	Total	TP	8.061775846
6/12/2009	4	Total	TP	10.78862204
6/15/2009	4	Total	TP	5.406300298
6/17/2009	4	Total	TP	12.77852798
6/19/2009	4	Total	TP	17.51824545
6/22/2009	4	Total	TP	17.51824545
6/24/2009	4	Total	TP	9.627433254
6/26/2009	4	Total	TP	16.86374939
6/29/2009	4	Total	TP	12.81644953
7/1/2009	4	Total	TP	15.90806823
7/3/2009	4	Total	TP	18.6005317
7/6/2009	4	Total	TP	12.86391912
7/8/2009	4	Total	TP	11.97470725
7/10/2009	4	Total	TP	17.58318146
7/13/2009	4	Total	TP	15.49409059
7/15/2009	4	Total	TP	18.8642813
7/17/2009	4	Total	TP	24.01861031
7/20/2009	4	Total	TP	22.00242065
7/22/2009	4	Total	TP	31.64614196
7/24/2009	4	Total	TP	27.66120544
7/27/2009	4	Total	TP	23.64319992
7/29/2009	4	Total	TP	23.64319992
7/31/2009	4	Total	TP	33.88586089
8/3/2009	4	Total	TP	23.47301822
8/5/2009	4	Total	TP	23.95712475
8/7/2009	4	Total	TP	21.34947132
8/10/2009	4	Total	TP	15.65627896
8/12/2009	4	Total	TP	19.84885163
8/14/2009	4	Total	TP	27.34604924
8/17/2009	4	Total	TP	24.81693486
8/19/2009	4	Total	TP	30.18834423
8/21/2009	4	Total	TP	30.2515389
8/24/2009	4	Total	TP	26.31253644
8/26/2009	4	Total	TP	22.00449256
8/28/2009	4	Total	TP	45.80442133
8/31/2009	4	Total	TP	34.92571375
9/2/2009	4	Total	TP	33.95555098
9/4/2009	4	Total	TP	42.88377056
9/7/2009	4	Total	TP	26.0421443
9/9/2009	4	Total	TP	33.22210544
9/11/2009	4	Total	TP	26.01882268
9/14/2009	4	Total	TP	33.15541404
9/16/2009	4	Total	TP	38.36565378
9/18/2009	4	Total	TP	37.36324832
9/21/2009	4	Total	TP	33.17856451
9/23/2009	4	Total	TP	36.48048572
9/25/2009	4	Total	TP	37.54778042
6/8/2009	5	Total	TP	17.14018692
6/10/2009	5	Total	TP	12.6459229
6/12/2009	5	Total	TP	14.32587517
6/15/2009	5	Total	TP	8.35519137
6/17/2009	5	Total	TP	14.90828264
6/19/2009	5	Total	TP	16.83125544
6/22/2009	5	Total	TP	18.37698298
6/24/2009	5	Total	TP	18.39527425
6/26/2009	5	Total	TP	20.57377425
6/29/2009	5	Total	TP	19.2246743
7/1/2009	5	Total	TP	16.95860104
7/3/2009	5	Total	TP	22.42494009
7/6/2009	5	Total	TP	18.94820519
7/8/2009	5	Total	TP	17.77495607
7/10/2009	5	Total	TP	20.89090866
7/13/2009	5	Total	TP	19.67227233
7/15/2009	5	Total	TP	22.39031519
7/17/2009	5	Total	TP	19.75020436
7/20/2009	5	Total	TP	16.63175104
7/22/2009	5	Total	TP	19.51431822
7/24/2009	5	Total	TP	17.44241617
7/27/2009	5	Total	TP	23.11779548
7/29/2009	5	Total	TP	20.49077326
7/31/2009	5	Total	TP	23.29652936
8/3/2009	5	Total	TP	22.23759621
8/5/2009	5	Total	TP	25.37680622
8/7/2009	5	Total	TP	40.48492338
8/10/2009	5	Total	TP	15.3399905
8/12/2009	5	Total	TP	22.05427959
8/14/2009	5	Total	TP	27.18797959
8/17/2009	5	Total	TP	26.87184029
8/19/2009	5	Total	TP	32.08499412
8/21/2009	5	Total	TP	30.72421919
8/24/2009	5	Total	TP	29.14861821
8/26/2009	5	Total	TP	29.55347906
8/28/2009	5	Total	TP	28.37021252
8/31/2009	5	Total	TP	28.6043176
9/2/2009	5	Total	TP	24.60998649
9/4/2009	5	Total	TP	22.92332463
9/7/2009	5	Total	TP	20.11638692
9/9/2009	5	Total	TP	18.61053129
9/11/2009	5	Total	TP	18.73355233
9/14/2009	5	Total	TP	16.35468854
9/16/2009	5	Total	TP	22.03027776
9/18/2009	5	Total	TP	18.23326518
9/21/2009	5	Total	TP	17.33654722
9/23/2009	5	Total	TP	19.06593287
9/25/2009	5	Total	TP	22.7651897
6/8/2009	7	Total	TP	14.69158879
6/10/2009	7	Total	TP	14.06858922
6/12/2009	7	Total	TP	18.03999096
6/15/2009	7	Total	TP	19.33161925
6/17/2009	7	Total	TP	15.39976449
6/19/2009	7	Total	TP	27.47960071
6/22/2009	7	Total	TP	27.65134822
6/24/2009	7	Total	TP	23.20899088
6/26/2009	7	Total	TP	32.71567381
6/29/2009	7	Total	TP	26.47608654
7/1/2009	7	Total	TP	34.81765877
7/3/2009	7	Total	TP	42.93767598
7/6/2009	7	Total	TP	72.70498255
7/8/2009	7	Total	TP	49.58277219
7/10/2009	7	Total	TP	69.46227131
7/13/2009	7	Total	TP	61.45408966
7/15/2009	7	Total	TP	61.88189474
7/17/2009	7	Total	TP	40.88638798
7/20/2009	7	Total	TP	40.57197687
7/22/2009	7	Total	TP	65.34611148
7/24/2009	7	Total	TP	73.46957112
7/27/2009	7	Total	TP	51.31450057
7/29/2009	7	Total	TP	37.47885024
7/31/2009	7	Total	TP	48.71092503
8/3/2009	7	Total	TP	42.00434839
8/5/2009	7	Total	TP	41.70314308
8/7/2009	7	Total	TP	50.60615423
8/10/2009	7	Total	TP	43.17337533
8/12/2009	7	Total	TP	31.82117484
8/14/2009	7	Total	TP	33.03655659
8/17/2009	7	Total	TP	37.14636746
8/19/2009	7	Total	TP	38.09105214
8/21/2009	7	Total	TP	37.34174333
8/24/2009	7	Total	TP	34.50566156
8/26/2009	7	Total	TP	36.29938189
8/28/2009	7	Total	TP	84.79365195
8/31/2009	7	Total	TP	70.95767183
9/2/2009	7	Total	TP	60.59040978
9/4/2009	7	Total	TP	49.12140991
9/7/2009	7	Total	TP	47.71794106
9/9/2009	7	Total	TP	49.67935212
9/11/2009	7	Total	TP	42.81954818
9/14/2009	7	Total	TP	47.72595474
9/16/2009	7	Total	TP	57.54848067
9/18/2009	7	Total	TP	43.64027404
9/21/2009	7	Total	TP	43.93918003
9/23/2009	7	Total	TP	50.59227855
9/25/2009	7	Total	TP	43.75646852
6/8/2009	8	Total	TP	12.39602804
6/10/2009	8	Total	TP	11.69747868
6/12/2009	8	Total	TP	12.55724861
6/15/2009	8	Total	TP	10.32111875
6/17/2009	8	Total	TP	14.41680079
6/19/2009	8	Total	TP	20.60970053
6/22/2009	8	Total	TP	11.5070828
6/24/2009	8	Total	TP	10.48702551
6/26/2009	8	Total	TP	20.57377425
6/29/2009	8	Total	TP	12.81644953
7/1/2009	8	Total	TP	18.60943831
7/3/2009	8	Total	TP	27.98771592
7/6/2009	8	Total	TP	21.90342985
7/8/2009	8	Total	TP	21.32994728
7/10/2009	8	Total	TP	15.6681815
7/13/2009	8	Total	TP	13.92727244
7/15/2009	8	Total	TP	17.98277283
7/17/2009	8	Total	TP	24.60113175
7/20/2009	8	Total	TP	18.1909777
7/22/2009	8	Total	TP	13.42728318
7/24/2009	8	Total	TP	33.65153018
7/27/2009	8	Total	TP	28.89724435
7/29/2009	8	Total	TP	40.6312769
7/31/2009	8	Total	TP	55.2410128
8/3/2009	8	Total	TP	24.17897365
8/5/2009	8	Total	TP	37.44409868
8/7/2009	8	Total	TP	27.04266367
8/10/2009	8	Total	TP	51.87130808
8/12/2009	8	Total	TP	50.40978192
8/14/2009	8	Total	TP	85.04147104
8/17/2009	8	Total	TP	52.47912339
8/19/2009	8	Total	TP	63.37971746
8/21/2009	8	Total	TP	27.41545713
8/24/2009	8	Total	TP	26.94277683
8/26/2009	8	Total	TP	50.91550468
8/28/2009	8	Total	TP	76.71051877
8/31/2009	8	Total	TP	66.53269452
9/2/2009	8	Total	TP	42.05504021
9/4/2009	8	Total	TP	74.69573127
9/7/2009	8	Total	TP	44.59912138
9/9/2009	8	Total	TP	41.98904993
9/11/2009	8	Total	TP	57.09273091
9/14/2009	8	Total	TP	50.55085549
9/16/2009	8	Total	TP	37.31659294
9/18/2009	8	Total	TP	53.65362459
9/21/2009	8	Total	TP	61.27572725
9/23/2009	8	Total	TP	55.39629313
9/25/2009	8	Total	TP	40.35647265
6/8/2009	9	Total	TP	13.00817757
6/10/2009	9	Total	TP	19.44310645
6/12/2009	9	Total	TP	13.97214986
6/15/2009	9	Total	TP	13.59766439
6/17/2009	9	Total	TP	14.08914623
6/19/2009	9	Total	TP	15.11378039
6/22/2009	9	Total	TP	16.14426542
6/24/2009	9	Total	TP	11.34661776
6/26/2009	9	Total	TP	22.0915117
6/29/2009	9	Total	TP	15.00873695
7/1/2009	9	Total	TP	24.01217846
7/3/2009	9	Total	TP	27.46620569
7/6/2009	9	Total	TP	18.94820519
7/8/2009	9	Total	TP	25.8204625
7/10/2009	9	Total	TP	24.37272678
7/13/2009	9	Total	TP	19.67227233
7/15/2009	9	Total	TP	21.68510841
7/17/2009	9	Total	TP	31.1845332
7/20/2009	9	Total	TP	24.25463693
7/22/2009	9	Total	TP	20.40947043
7/24/2009	9	Total	TP	30.65636781
7/27/2009	9	Total	TP	28.72210953
7/29/2009	9	Total	TP	23.11779548
7/31/2009	9	Total	TP	33.35639431
8/3/2009	9	Total	TP	35.1212829
8/5/2009	9	Total	TP	26.08664695
8/7/2009	9	Total	TP	34.1591541
8/10/2009	9	Total	TP	23.56349056
8/12/2009	9	Total	TP	17.17083197
8/14/2009	9	Total	TP	22.28782048
8/17/2009	9	Total	TP	36.19794957
8/19/2009	9	Total	TP	16.91179493
8/21/2009	9	Total	TP	33.56030097
8/24/2009	9	Total	TP	23.63401476
8/26/2009	9	Total	TP	32.92643047
8/28/2009	9	Total	TP	38.03827377
8/31/2009	9	Total	TP	62.10771722
9/2/2009	9	Total	TP	36.44770151
9/4/2009	9	Total	TP	53.17587549
9/7/2009	9	Total	TP	47.71794106
9/9/2009	9	Total	TP	48.14129168
9/11/2009	9	Total	TP	48.61802867
9/14/2009	9	Total	TP	35.68295682
9/16/2009	9	Total	TP	38.36565378
9/18/2009	9	Total	TP	32.87965852
9/21/2009	9	Total	TP	46.33042792
9/23/2009	9	Total	TP	42.18525303
9/25/2009	9	Total	TP	36.21734725
6/8/2009	10	Total	TP	14.99766355
6/10/2009	10	Total	TP	21.18192085
6/12/2009	10	Total	TP	11.49607267
6/15/2009	10	Total	TP	7.208400397
6/17/2009	10	Total	TP	10.32111875
6/19/2009	10	Total	TP	15.11378039
6/22/2009	10	Total	TP	13.22455784
6/24/2009	10	Total	TP	12.20621002
6/26/2009	10	Total	TP	14.50282447
6/29/2009	10	Total	TP	21.41696172
7/1/2009	10	Total	TP	14.55738319
7/3/2009	10	Total	TP	21.55575636
7/6/2009	10	Total	TP	13.5592661
7/8/2009	10	Total	TP	13.65865045
7/10/2009	10	Total	TP	13.23090882
7/13/2009	10	Total	TP	17.40909055
7/15/2009	10	Total	TP	17.10126436
7/17/2009	10	Total	TP	38.9806665
7/20/2009	10	Total	TP	24.77437915
7/22/2009	10	Total	TP	41.17700175
7/24/2009	10	Total	TP	32.59441405
7/27/2009	10	Total	TP	30.47345768
7/29/2009	10	Total	TP	35.37723247
7/31/2009	10	Total	TP	53.47612421
8/3/2009	10	Total	TP	35.1212829
8/5/2009	10	Total	TP	34.42727557
8/7/2009	10	Total	TP	60.72738508
8/10/2009	10	Total	TP	34.47544257
8/12/2009	10	Total	TP	53.87545443
8/14/2009	10	Total	TP	34.45918343
8/17/2009	10	Total	TP	44.41757131
8/19/2009	10	Total	TP	47.10013916
8/21/2009	10	Total	TP	40.96562559
8/24/2009	10	Total	TP	35.29346205
8/26/2009	10	Total	TP	26.98361131
