Date	Well	Sample	Fraction	Rate	P-value	R2
6-8-09	A1	3	PR	47.91	2.29E-184	0.994
6-8-09	A2	4	PR	-3.43	1.07E-23	0.456
6-8-09	A3	5	PR	13.48	1.43E-48	0.726
6-8-09	A4	7	PR	4.78	5.94E-62	0.811
6-8-09	A5	8	PR	4.70	1.22E-63	0.820
6-8-09	A6	9	PR	4.79	1.85E-70	0.851
6-8-09	B1	10	PR	1.74	8.29E-17	0.342
6-8-09	B2	13	PR	14.11	1.38E-25	0.483
6-8-09	B3	14	PR	22.28	3.30E-132	0.973
6-8-09	B4	15	PR	2.43	2.04E-34	0.595
6-8-09	B5	16	PR	2.98	4.90E-35	0.602
6-8-09	B6	99	PR	-0.38	3.39E-01	0.006
6-8-09	C1	3	BR	4.28	2.52E-79	0.883
6-8-09	C2	4	BR	7.88	1.20E-97	0.930
6-8-09	C3	5	BR	6.77	1.01E-96	0.928
6-8-09	C4	7	BR	-0.26	1.75E-01	0.011
6-8-09	C5	8	BR	2.63	7.19E-39	0.642
6-8-09	C6	9	BR	5.49	1.38E-84	0.899
6-8-09	D1	10	BR	5.48	1.78E-75	0.870
6-8-09	D2	13	BR	0.00	9.96E-01	0.000
6-8-09	D3	14	BR	3.63	6.64E-66	0.831
6-8-09	D4	15	BR	0.19	4.23E-01	0.004
6-8-09	D5	16	BR	7.07	1.32E-112	0.954
6-8-09	D6	99	BR	7.42	1.14E-41	0.669
6-10-09	A1	3	PR	10.71	2.76E-56	0.779
6-10-09	A2	4	PR	10.19	3.14E-75	0.869
6-10-09	A3	5	PR	14.85	8.85E-85	0.900
6-10-09	A4	7	PR	8.84	2.13E-67	0.838
6-10-09	A5	8	PR	9.18	4.01E-63	0.817
6-10-09	A6	9	PR	11.64	1.17E-77	0.878
6-10-09	B1	10	PR	12.06	1.32E-79	0.884
6-10-09	B2	13	PR	19.25	1.29E-107	0.947
6-10-09	B3	14	PR	46.36	9.04E-156	0.986
6-10-09	B4	15	PR	17.20	5.84E-103	0.939
6-10-09	B5	16	PR	10.71	1.89E-76	0.874
6-10-09	B6	99	PR	1.41	1.75E-11	0.239
6-10-09	C1	3	BR	9.42	4.10E-66	0.832
6-10-09	C2	4	BR	13.35	3.23E-53	0.759
6-10-09	C3	5	BR	10.66	5.38E-86	0.903
6-10-09	C4	7	BR	15.61	9.03E-105	0.942
6-10-09	C5	8	BR	3.53	1.48E-20	0.407
6-10-09	C6	9	BR	6.78	1.81E-46	0.710
6-10-09	D1	10	BR	12.66	4.77E-114	0.955
6-10-09	D2	13	BR	10.17	1.78E-82	0.893
6-10-09	D3	14	BR	9.10	7.81E-81	0.888
6-10-09	D4	15	BR	12.15	8.01E-72	0.856
6-10-09	D5	16	BR	12.83	3.18E-97	0.929
6-10-09	D6	99	BR	2.57	3.44E-26	0.492
6-12-09	A1	3	PR	10.98	1.17E-103	0.941
6-12-09	A2	4	PR	17.69	1.42E-48	0.726
6-12-09	A3	5	PR	14.90	3.33E-125	0.967
6-12-09	A4	7	PR	42.67	1.10E-97	0.930
6-12-09	A5	8	PR	11.29	9.82E-92	0.917
6-12-09	A6	9	PR	9.48	2.42E-56	0.779
6-12-09	B1	10	PR	20.30	1.16E-44	0.695
6-12-09	B2	13	PR	21.64	1.17E-110	0.951
6-12-09	B3	14	PR	25.85	6.22E-157	0.986
6-12-09	B4	15	PR	9.12	3.92E-111	0.952
6-12-09	B5	16	PR	13.15	6.06E-108	0.947
6-12-09	B6	99	PR	-2.33	3.78E-34	0.592
6-12-09	C1	3	BR	5.22	5.32E-91	0.916
