Sample Date	6/8/09	6/10/09	6/12/09	6/15/09	6/17/09	6/19/09	6/22/09	6/24/09	6/26/09	6/29/09	7/1/09	7/3/09	7/6/09	7/8/09	7/10/09	7/13/09	7/15/09	7/17/09	7/20/09	7/22/09	7/24/09	7/27/09	7/29/09	7/31/09	8/3/09	8/5/09	8/7/09	8/10/09	8/12/09	8/14/09	8/17/09	8/19/09	8/21/09	8/24/09	8/26/09	8/28/09	8/31/09	9/2/09	9/4/09	9/7/09	9/9/09	9/11/09	9/14/09	9/16/09	9/18/09	9/21/09	9/23/09	9/25/09
Pond 3	9.335280374	13.75244115	7.605094226	5.897782143	7.863709524	12.70931533	11.5070828	7.564411843	15.34601194	9.443699656	9.004566923	15.64530704	10.95171493	11.41339284	12.36045429	14.10136335	9.872894887	16.22879075	13.16680291	11.27891787	13.56632368	26.97076139	25.04427843	15.001553	46.94603644	15.43903595	35.1080195	15.49813473	25.20489096	16.43924347	17.22959172	19.44066146	30.67241452	26.94277683	16.0616734	27.73624129	20.70257241	18.22385076	24.48273446	10.29210493	13.07351371	11.29960299	13.82714577	16.03564435	16.73873525	9.56499157	10.65890735	11.08694304
Pond 4	8.570093458	8.061775846	10.78862204	5.406300298	12.77852798	17.51824545	17.51824545	9.627433254	16.86374939	12.81644953	15.90806823	18.6005317	12.86391912	11.97470725	17.58318146	15.49409059	18.8642813	24.01861031	22.00242065	31.64614196	27.66120544	23.64319992	23.64319992	33.88586089	23.47301822	23.95712475	21.34947132	15.65627896	19.84885163	27.34604924	24.81693486	30.18834423	30.2515389	26.31253644	22.00449256	45.80442133	34.92571375	33.95555098	42.88377056	26.0421443	33.22210544	26.01882268	33.15541404	38.36565378	37.36324832	33.17856451	36.48048572	37.54778042
Pond 5	17.14018692	12.6459229	14.32587517	8.35519137	14.90828264	16.83125544	18.37698298	18.39527425	20.57377425	19.2246743	16.95860104	22.42494009	18.94820519	17.77495607	20.89090866	19.67227233	22.39031519	19.75020436	16.63175104	19.51431822	17.44241617	23.11779548	20.49077326	23.29652936	22.23759621	25.37680622	40.48492338	15.3399905	22.05427959	27.18797959	26.87184029	32.08499412	30.72421919	29.14861821	29.55347906	28.37021252	28.6043176	24.60998649	22.92332463	20.11638692	18.61053129	18.73355233	16.35468854	22.03027776	18.23326518	17.33654722	19.06593287	22.7651897
Pond 7	14.69158879	14.06858922	18.03999096	19.33161925	15.39976449	27.47960071	27.65134822	23.20899088	32.71567381	26.47608654	34.81765877	42.93767598	72.70498255	49.58277219	69.46227131	61.45408966	61.88189474	40.88638798	40.57197687	65.34611148	73.46957112	51.31450057	37.47885024	48.71092503	42.00434839	41.70314308	50.60615423	43.17337533	31.82117484	33.03655659	37.14636746	38.09105214	37.34174333	34.50566156	36.29938189	84.79365195	70.95767183	60.59040978	49.12140991	47.71794106	49.67935212	42.81954818	47.72595474	57.54848067	43.64027404	43.93918003	50.59227855	43.75646852
Pond 8	12.39602804	11.69747868	12.55724861	10.32111875	14.41680079	20.60970053	11.5070828	10.48702551	20.57377425	12.81644953	18.60943831	27.98771592	21.90342985	21.32994728	15.6681815	13.92727244	17.98277283	24.60113175	18.1909777	13.42728318	33.65153018	28.89724435	40.6312769	55.2410128	24.17897365	37.44409868	27.04266367	51.87130808	50.40978192	85.04147104	52.47912339	63.37971746	27.41545713	26.94277683	50.91550468	76.71051877	66.53269452	42.05504021	74.69573127	44.59912138	41.98904993	57.09273091	50.55085549	37.31659294	53.65362459	61.27572725	55.39629313	40.35647265
Pond 9	13.00817757	19.44310645	13.97214986	13.59766439	14.08914623	15.11378039	16.14426542	11.34661776	22.0915117	15.00873695	24.01217846	27.46620569	18.94820519	25.8204625	24.37272678	19.67227233	21.68510841	31.1845332	24.25463693	20.40947043	30.65636781	28.72210953	23.11779548	33.35639431	35.1212829	26.08664695	34.1591541	23.56349056	17.17083197	22.28782048	36.19794957	16.91179493	33.56030097	23.63401476	32.92643047	38.03827377	62.10771722	36.44770151	53.17587549	47.71794106	48.14129168	48.61802867	35.68295682	38.36565378	32.87965852	46.33042792	42.18525303	36.21734725
Pond 10	14.99766355	21.18192085	11.49607267	7.208400397	10.32111875	15.11378039	13.22455784	12.20621002	14.50282447	21.41696172	14.55738319	21.55575636	13.5592661	13.65865045	13.23090882	17.40909055	17.10126436	38.9806665	24.77437915	41.17700175	32.59441405	30.47345768	35.37723247	53.47612421	35.1212829	34.42727557	60.72738508	34.47544257	53.87545443	34.45918343	44.41757131	47.10013916	40.96562559	35.29346205	26.98361131	40.09868027	17.06776962	16.35473786	17.46539019	24.48273446	18.45672524	27.35693356	18.28751537	24.72786279	24.36083791	18.98053015	30.92584386	24.39127468
Pond 13	26.62850467	36.19895429	29.35920097	11.14025516	23.75495586	35.55173342	23.52940811	23.72474623	40.30436103	29.51156143	28.96469027	42.242329	39.98245132	35.36280733	41.60772642	45.78590816	40.19678633	50.24174794	53.36020126	55.67846759	59.19850335	53.76638797	47.28639984	48.53443617	43.06328154	46.49456803	40.32677915	49.49914461	49.30706794	32.87848694	42.36266587	33.50748155	42.06854628	28.67593791	32.76581374	87.01255125	70.64160203	56.38490576	50.83676074	37.89365908	34.91397192	38.06182061	35.98031479	31.32195953	53.20526561	42.59410309	40.08349665	33.85213274
Pond 14	30.14836449	42.20576766	36.78743254	23.42730129	27.8506379	34.6929959	31.25804581	35.7590378	46.7125858	50.59124816	42.77169288	66.40563654	58.75681977	48.46014338	45.26363544	41.43363552	40.54938972	47.64303684	38.63417169	40.46087998	41.0513431	34.85182803	27.67130065	40.06297095	41.82785953	36.55679777	46.33625997	25.61936558	31.66364427	20.86519364	26.55570099	26.8692069	38.44466402	37.34174333	45.29391899	81.6237958	67.16483414	52.80243937	47.25011811	35.08672137	31.83785105	27.50561255	37.31842567	62.49405323	48.57222282	49.31948778	44.73738578	35.92169544
Pond 15	11.32476636	NA	12.38038595	12.6147007	12.6147007	18.54873048	17.34649795	12.37812847	29.00564894	14.50282447	17.25875327	31.81212431	22.42494009	22.63968089	23.50227225	26.46181764	19.74578977	33.7832443	22.86865768	20.23043999	55.49859689	20.84104289	22.94266066	37.94510464	46.73891736	25.37680622	25.46122135	16.92143282	20.0063822	16.12310417	23.23623837	21.969528	40.3353852	24.42181526	26.82299458	68.6273856	70.64160203	62.14800386	49.58923287	30.72037382	30.14598457	26.46485964	27.20825457	35.06860541	75.7726676	51.2623767	56.14692041	83.22598573
