"","rho","p.value","BH"
"Otu005",-0.637814866609487,0.0347408310000391,0.0400855742308143
"Otu030",-0.651482328036833,0.0298837831600382,0.0373547289500477
"Otu031",-0.610479943754795,0.0460603988110023,0.0460603988110023
"Otu041",0.621164027337745,0.0413717441077542,0.0443268686868795
"Otu047",-0.735281761916065,0.00992401233038367,0.0365838596084533
"Otu049",-0.69283679972287,0.0181059323717647,0.0365838596084533
"Otu069",-0.659577802708701,0.0272437217228502,0.0371505296220684
"Otu080",-0.677944825292007,0.0218713058652797,0.0365838596084533
"Otu083",-0.782244029183085,0.00443694956788045,0.0365838596084533
"Otu085",-0.668980004615491,0.0243892397389689,0.0365838596084533
"Otu097",-0.712344026925397,0.0139062717793994,0.0365838596084533
"Otu098",-0.668980004615491,0.0243892397389689,0.0365838596084533
"Otu100",-0.668980004615491,0.0243892397389689,0.0365838596084533
"Otu101",-0.747477627886059,0.00818262886016236,0.0365838596084533
"Otu102",-0.668980004615491,0.0243892397389689,0.0365838596084533
